id	day
cell_182	1
cell_183	2
cell_184	2
cell_185	2
cell_186	2
cell_187	2
cell_188	2
cell_189	2
cell_190	2
cell_191	2
cell_192	2
cell_193	2
cell_194	2
cell_195	2
cell_196	2
cell_197	2
cell_198	2
cell_199	2
cell_200	2
cell_201	2
cell_202	2
cell_203	2
cell_204	2
cell_205	2
cell_206	2
cell_207	2
cell_208	2
cell_209	2
cell_210	2
cell_211	2
cell_212	2
cell_213	2
cell_214	2
cell_215	2
cell_216	2
cell_217	2
cell_218	2
cell_219	2
cell_220	2
cell_221	2
cell_222	2
cell_223	2
cell_224	2
cell_225	2
cell_226	2
cell_227	2
cell_228	2
cell_229	2
cell_230	2
cell_231	2
cell_232	2
cell_233	2
cell_234	2
cell_235	2
cell_236	2
cell_237	2
cell_238	2
cell_239	2
cell_240	2
cell_241	2
cell_242	2
cell_243	2
cell_244	2
cell_245	2
cell_246	2
cell_247	2
cell_248	2
cell_249	2
cell_250	2
cell_251	2
cell_252	2
cell_253	2
cell_254	2
cell_255	2
cell_256	2
cell_257	2
cell_258	2
cell_259	2
cell_260	2
cell_261	2
cell_262	2
cell_263	2
cell_264	2
cell_265	2
cell_266	2
cell_267	2
cell_268	2
cell_269	2
cell_270	2
cell_271	2
cell_272	2
cell_273	2
cell_274	2
cell_275	2
cell_276	3
cell_277	3
cell_278	3
cell_279	3
cell_280	3
cell_281	3
cell_282	3
cell_283	3
cell_284	3
cell_285	3
cell_286	3
cell_287	3
cell_288	3
cell_289	3
cell_290	3
cell_291	3
cell_292	3
cell_293	3
cell_294	3
cell_295	3
cell_296	3
cell_297	3
cell_298	3
cell_299	3
cell_300	3
cell_301	3
cell_302	3
cell_303	3
cell_304	3
cell_305	3
cell_306	3
cell_307	3
cell_308	3
cell_309	3
cell_310	3
cell_311	3
cell_312	3
cell_313	3
cell_314	3
cell_315	3
cell_316	3
cell_317	3
cell_318	3
cell_319	3
cell_320	3
cell_321	3
cell_322	3
cell_323	3
cell_324	3
cell_325	3
cell_326	3
cell_327	3
cell_328	3
cell_329	3
cell_330	3
cell_331	3
cell_332	3
cell_333	3
cell_334	3
cell_335	3
cell_336	3
cell_337	3
cell_338	3
cell_339	3
cell_340	3
cell_341	3
cell_342	3
cell_343	3
cell_344	3
cell_345	3
cell_346	3
cell_347	3
cell_348	3
cell_349	3
cell_350	3
cell_351	3
cell_352	3
cell_353	3
cell_354	3
cell_355	3
cell_356	3
cell_357	3
cell_358	3
cell_359	3
cell_360	3
cell_361	3
cell_362	3
cell_363	4
cell_364	4
cell_365	4
cell_366	4
cell_367	4
cell_368	4
cell_369	4
cell_370	4
cell_371	4
cell_372	4
cell_373	4
cell_374	4
cell_375	4
cell_376	4
cell_377	4
cell_378	4
cell_379	4
cell_380	4
cell_381	4
cell_382	4
cell_383	4
cell_384	4
cell_385	4
cell_386	4
cell_387	4
cell_388	4
cell_389	4
cell_390	4
cell_391	4
cell_392	4
cell_393	4
cell_394	4
cell_395	4
cell_396	4
cell_397	4
cell_398	4
cell_399	4
cell_400	4
cell_401	4
cell_402	4
cell_403	4
cell_404	4
cell_405	4
cell_406	4
cell_407	4
cell_408	4
cell_409	4
cell_410	4
cell_411	4
cell_412	4
cell_413	4
cell_414	4
cell_415	4
cell_416	4
cell_417	4
cell_418	4
cell_419	4
cell_420	4
cell_421	4
cell_422	4
cell_423	4
cell_424	4
cell_425	4
cell_426	4
cell_427	4
cell_428	4
cell_429	4
cell_430	4
cell_431	4
cell_432	4
cell_433	4
cell_434	4
cell_435	4
cell_436	4
cell_437	4
cell_438	4
cell_439	4
cell_440	4
cell_441	4
cell_442	4
cell_443	4
cell_444	4
cell_445	4
cell_446	4
cell_447	4
cell_448	4
cell_449	4
cell_450	4
cell_451	4
cell_452	4
cell_453	4
cell_454	4
cell_455	4
